user_trip_id,destination,total_trip_budget_inr,accommodation_budget_inr,trip_duration_days,group_size,primary_interest,travel_season,destination_cost_tier,is_group_trip,accommodation_type
U_E00001,Himachal Pradesh,69639,15669,28,1,Heritage,Peak,Tier-3,False,0
U_E00002,Himachal Pradesh,455913,113978,16,3,Spiritual,Off-season,Tier-3,True,3
U_E00003,Udaipur,31224,8587,8,4,Adventure,Moderate,Tier-2,True,0
U_E00004,Jaipur,378603,113581,18,1,Adventure,Moderate,Tier-1,False,1
U_E00005,Northeast India,217428,70664,15,5,Adventure,Peak,Tier-3,True,3
U_E00006,Himachal Pradesh,435424,152398,9,2,Food,Peak,Tier-3,False,2
U_E00007,Jaipur,434449,162918,16,5,Spiritual,Off-season,Tier-1,True,1
U_E00008,Rajasthan (non-GT),204683,81873,14,6,Spiritual,Moderate,Tier-3,True,1
U_E00009,Pune,129585,55074,29,2,Cultural,Off-season,Tier-2,False,0
U_E00010,Pune,184594,36919,17,7,Heritage,Off-season,Tier-2,True,0
U_E00011,Bangalore,59886,13474,29,8,Food,Peak,Tier-1,True,0
U_E00012,Lucknow,87073,21768,9,1,Beach,Peak,Tier-2,False,0
U_E00013,Kolkata,87726,24125,18,9,Adventure,Off-season,Tier-2,True,0
U_E00014,Hyderabad,189625,56888,10,9,Food,Moderate,Tier-2,True,1
U_E00015,Northeast India,414620,134752,11,9,Cultural,Off-season,Tier-3,True,2
U_E00016,Lucknow,434053,151919,10,2,Beach,Off-season,Tier-2,False,2
U_E00017,Pune,45435,17038,21,5,Food,Off-season,Tier-2,True,0
U_E00018,Jaipur,64837,25935,24,8,Heritage,Off-season,Tier-1,True,0
U_E00019,Bangalore,85581,36372,18,2,Beach,Moderate,Tier-1,False,0
U_E00020,Rajasthan (non-GT),335235,67047,8,9,Cultural,Peak,Tier-3,True,1
U_E00021,Kolkata,46794,10529,30,6,Spiritual,Peak,Tier-2,True,0
U_E00022,Varanasi,391119,97780,4,2,Heritage,Off-season,Tier-2,False,2
U_E00023,Jaipur,263742,72529,7,2,Adventure,Moderate,Tier-1,False,1
U_E00024,Kerala,37921,11376,10,5,Beach,Moderate,Tier-3,True,0
U_E00025,Himachal Pradesh,332031,107910,30,7,Food,Off-season,Tier-3,True,0
U_E00026,Hyderabad,268055,93819,15,6,Beach,Off-season,Tier-2,True,1
U_E00027,Lucknow,76888,28833,3,3,Cultural,Moderate,Tier-2,True,1
U_E00028,Northeast India,195874,78350,7,8,Adventure,Peak,Tier-3,True,3
U_E00029,Himachal Pradesh,113553,48260,8,7,Beach,Moderate,Tier-3,True,1
U_E00030,Kolkata,221694,44339,8,2,Adventure,Off-season,Tier-2,False,1
U_E00031,Delhi,275101,61898,9,9,Adventure,Peak,Tier-1,True,1
U_E00032,Pune,228772,57193,28,10,Food,Moderate,Tier-2,True,0
U_E00033,Varanasi,104049,28613,27,2,Cultural,Off-season,Tier-2,False,0
U_E00034,Varanasi,212551,63765,10,4,Food,Off-season,Tier-2,True,1
U_E00035,Lucknow,492284,159992,7,1,Adventure,Moderate,Tier-2,False,2
U_E00036,Kerala,372439,130354,6,1,Cultural,Peak,Tier-3,False,2
U_E00037,Bangalore,195102,73163,9,7,Spiritual,Peak,Tier-1,True,1
U_E00038,Varanasi,333958,133583,6,8,Beach,Off-season,Tier-2,True,2
U_E00039,Varanasi,355096,150916,14,5,Cultural,Peak,Tier-2,True,1
U_E00040,Rajasthan (non-GT),123389,24678,16,6,Food,Moderate,Tier-3,True,0
U_E00041,Rishikesh,377941,85037,30,9,Food,Peak,Tier-3,True,0
U_E00042,Delhi,192257,48064,28,1,Spiritual,Off-season,Tier-1,False,0
U_E00043,Rishikesh,322096,88576,9,9,Beach,Peak,Tier-3,True,1
U_E00044,Varanasi,154935,46481,29,10,Spiritual,Peak,Tier-2,True,3
U_E00045,Rishikesh,95491,31035,1,8,Cultural,Moderate,Tier-3,True,2
U_E00046,Jaipur,242652,84928,25,8,Adventure,Peak,Tier-1,True,0
U_E00047,Varanasi,339461,127298,18,7,Cultural,Peak,Tier-2,True,1
U_E00048,Kolkata,334641,133856,19,9,Cultural,Off-season,Tier-2,True,1
U_E00049,Kerala,485141,206185,26,5,Food,Peak,Tier-3,True,1
U_E00050,Hyderabad,403405,80681,13,2,Adventure,Off-season,Tier-2,False,1
U_E00051,Goa,15711,3535,21,6,Cultural,Moderate,Tier-1,True,0
U_E00052,Kolkata,404898,101224,9,1,Heritage,Peak,Tier-2,False,1
U_E00053,Varanasi,479268,131799,4,2,Adventure,Moderate,Tier-2,False,3
U_E00054,Varanasi,462344,138703,7,6,Spiritual,Off-season,Tier-2,True,3
U_E00055,Pune,183012,59479,6,6,Cultural,Peak,Tier-2,True,1
U_E00056,Udaipur,424791,148677,11,8,Heritage,Off-season,Tier-2,True,2
U_E00057,Bangalore,53455,20046,7,1,Cultural,Moderate,Tier-1,False,0
U_E00058,Kolkata,133101,53240,30,4,Heritage,Off-season,Tier-2,True,0
U_E00059,Hyderabad,218261,92761,16,9,Cultural,Peak,Tier-2,True,1
U_E00060,Goa,40528,8106,18,1,Beach,Off-season,Tier-1,False,0
U_E00061,Kerala,303744,68342,8,7,Beach,Moderate,Tier-3,True,1
U_E00062,Rishikesh,433557,108389,3,6,Beach,Peak,Tier-3,True,2
U_E00063,Pune,241630,66448,9,2,Cultural,Peak,Tier-2,False,1
U_E00064,Lucknow,135297,40589,8,9,Cultural,Peak,Tier-2,True,1
U_E00065,Agra,121155,39375,14,10,Adventure,Peak,Tier-2,True,0
U_E00066,Northeast India,14428,5050,5,9,Heritage,Off-season,Tier-3,True,0
U_E00067,Delhi,419530,157324,5,6,Heritage,Off-season,Tier-1,True,2
U_E00068,Kolkata,296543,118617,9,2,Adventure,Peak,Tier-2,False,2
U_E00069,Delhi,353701,150323,17,2,Food,Moderate,Tier-1,False,1
U_E00070,Varanasi,297023,59405,22,2,Adventure,Peak,Tier-2,False,3
U_E00071,Northeast India,291470,65581,30,6,Food,Moderate,Tier-3,True,0
U_E00072,Goa,437937,109484,13,6,Heritage,Peak,Tier-1,True,1
U_E00073,Varanasi,106906,29399,17,9,Heritage,Peak,Tier-2,True,0
U_E00074,Mumbai,497205,149162,6,2,Food,Moderate,Tier-1,False,2
U_E00075,Goa,72828,23669,26,6,Heritage,Moderate,Tier-1,True,0
U_E00076,Udaipur,164608,57613,20,5,Heritage,Peak,Tier-2,True,0
U_E00077,Goa,188575,70716,22,6,Spiritual,Off-season,Tier-1,True,0
U_E00078,Rishikesh,261969,104788,4,8,Heritage,Moderate,Tier-3,True,2
U_E00079,Delhi,484618,205963,24,7,Cultural,Off-season,Tier-1,True,1
U_E00080,Rajasthan (non-GT),357500,71500,18,7,Food,Peak,Tier-3,True,0
U_E00081,Northeast India,313026,70431,24,10,Heritage,Peak,Tier-3,True,0
U_E00082,Agra,209346,52336,28,3,Beach,Moderate,Tier-2,True,0
U_E00083,Rajasthan (non-GT),138420,38066,10,7,Beach,Off-season,Tier-3,True,0
U_E00084,Delhi,446197,133859,13,6,Food,Peak,Tier-1,True,1
U_E00085,Agra,214776,69802,6,3,Food,Peak,Tier-2,True,1
U_E00086,Pune,483195,169118,23,6,Adventure,Moderate,Tier-2,True,1
