trip_id,destination,trip_duration_days,total_budget_inr,group_size,primary_interest,secondary_interest,accommodation_preference,travel_season,destination_cost_tier,is_first_time,transport_mode,has_special_occasion,has_health_conditions,accommodation_budget_pct,food_dining_budget_pct,activities_attractions_budget_pct,local_transport_budget_pct,shopping_misc_budget_pct,contingency_budget_pct
T_E00001,Udaipur,28,181236,9,Spiritual,Food,Alternative,Moderate,Tier-2,True,Own-vehicle,False,False,23.9,21.1,22.4,11.3,11.3,10.0
T_E00002,Kerala,5,367785,2,Food,Beach,Luxury,Peak,Tier-3,False,Flight,False,False,31.6,22.9,18.1,9.1,9.1,9.2
T_E00003,Goa,5,335681,4,Heritage,Food,Mid-range,Moderate,Tier-1,False,Train,False,False,29.9,21.2,21.0,9.3,9.3,9.3
T_E00004,Mumbai,19,291475,5,Beach,Heritage,Budget,Moderate,Tier-1,False,Flight,False,True,25.8,19.1,26.9,9.9,9.1,9.2
T_E00005,Varanasi,27,256747,2,Cultural,Heritage,Mid-range,Peak,Tier-2,False,Bus,False,False,30.7,19.7,20.6,9.7,9.7,9.6
T_E00006,Bangalore,2,252078,10,Cultural,Adventure,Mid-range,Moderate,Tier-1,False,Train,False,False,29.0,19.5,22.2,10.4,9.5,9.4
T_E00007,Bangalore,17,433168,7,Heritage,Spiritual,Mid-range,Moderate,Tier-1,False,Train,False,False,29.4,19.0,21.6,10.6,9.7,9.7
T_E00008,Agra,27,32996,6,Heritage,Food,Mid-range,Peak,Tier-2,False,Bus,False,False,28.9,21.5,20.4,10.4,9.5,9.3
T_E00009,Rishikesh,30,442126,7,Cultural,Spiritual,Mid-range,Moderate,Tier-3,True,Bus,False,False,24.3,19.9,23.1,11.9,10.8,10.0
T_E00010,Rajasthan (non-GT),10,162950,7,Cultural,Beach,Mid-range,Off-season,Tier-3,True,Bus,False,False,21.7,20.6,25.4,11.7,10.6,10.0
T_E00011,Delhi,23,320612,4,Spiritual,Adventure,Mid-range,Peak,Tier-1,True,Train,True,False,34.1,18.0,20.1,9.3,9.3,9.2
T_E00012,Rishikesh,13,79050,3,Food,Spiritual,Budget,Peak,Tier-3,False,Train,False,False,25.5,22.4,24.3,9.2,9.2,9.4
T_E00013,Mumbai,3,340744,5,Heritage,Spiritual,Mid-range,Peak,Tier-1,True,Flight,False,False,32.7,18.6,20.1,10.1,9.2,9.3
T_E00014,Pune,8,152812,8,Heritage,Food,Luxury,Moderate,Tier-2,True,Bus,False,False,28.9,21.8,19.2,10.6,9.7,9.8
T_E00015,Hyderabad,25,354580,4,Spiritual,Cultural,Luxury,Moderate,Tier-2,True,Bus,False,False,32.2,18.8,18.2,10.4,10.4,10.0
T_E00016,Rajasthan (non-GT),2,132870,9,Spiritual,Beach,Mid-range,Peak,Tier-3,True,Train,False,True,28.5,18.6,21.5,11.2,10.2,10.0
T_E00017,Rajasthan (non-GT),15,264792,8,Beach,Adventure,Mid-range,Peak,Tier-3,False,Train,True,False,27.3,19.5,23.6,10.5,9.5,9.6
T_E00018,Varanasi,12,89460,3,Beach,Food,Mid-range,Moderate,Tier-2,True,Bus,False,False,26.3,22.0,22.2,9.8,9.8,9.9
T_E00019,Jaipur,26,418295,10,Cultural,Food,Mid-range,Off-season,Tier-1,False,Flight,False,False,27.3,21.6,21.4,10.5,9.6,9.6
T_E00020,Mumbai,24,402953,8,Food,Heritage,Mid-range,Peak,Tier-1,False,Train,False,False,31.5,22.3,18.8,9.6,8.8,9.0
T_E00021,Himachal Pradesh,30,125523,4,Adventure,Beach,Mid-range,Moderate,Tier-3,True,Train,False,False,24.4,19.9,26.0,9.9,9.9,9.9
T_E00022,Lucknow,25,341582,2,Heritage,Food,Mid-range,Peak,Tier-2,False,Train,True,False,30.1,21.4,20.3,9.4,9.4,9.4
T_E00023,Goa,22,22310,5,Adventure,Food,Mid-range,Peak,Tier-1,False,Own-vehicle,True,False,31.4,20.5,21.1,9.5,8.8,8.7
T_E00024,Pune,3,214283,10,Beach,Food,Mid-range,Peak,Tier-2,False,Flight,False,False,28.8,21.4,20.7,10.3,9.4,9.4
T_E00025,Jaipur,29,263899,9,Heritage,Cultural,Budget,Peak,Tier-1,True,Train,False,False,29.2,18.8,24.6,9.6,8.8,9.0
T_E00026,Himachal Pradesh,2,484639,9,Heritage,Adventure,Mid-range,Moderate,Tier-3,False,Flight,False,False,23.2,20.1,25.3,11.2,10.2,10.0
T_E00027,Pune,6,402428,2,Beach,Adventure,Mid-range,Off-season,Tier-2,True,Own-vehicle,False,False,24.5,20.0,25.5,10.0,10.0,10.0
T_E00028,Kolkata,5,474974,1,Cultural,Heritage,Mid-range,Off-season,Tier-2,True,Train,False,False,25.2,20.4,23.6,10.4,10.4,10.0
