user_trip_id,destination,total_trip_budget_inr,accommodation_budget_inr,trip_duration_days,group_size,primary_interest,travel_season,destination_cost_tier,is_group_trip,accommodation_type
U00001,Hyderabad,82967,32544,5,4,Heritage,Moderate,Tier-2,True,1
U00002,Goa,200215,63995,19,10,Beach,Peak,Tier-1,True,0
U00003,Rajasthan (non-GT),262836,100724,20,9,Heritage,Off-season,Tier-3,True,1
U00004,Kolkata,118130,26718,15,2,Food,Peak,Tier-2,False,0
U00005,Pune,71822,20728,20,5,Cultural,Moderate,Tier-2,True,1
U00006,Kerala,370519,116503,27,4,Food,Peak,Tier-3,True,0
U00007,Rajasthan (non-GT),449369,121735,5,6,Heritage,Peak,Tier-3,True,2
U00008,Northeast India,203890,40778,24,9,Food,Moderate,Tier-3,True,1
U00009,Himachal Pradesh,191165,44784,19,5,Food,Moderate,Tier-3,True,0
U00010,Northeast India,306113,89846,8,1,Cultural,Off-season,Tier-3,False,1
U00011,Hyderabad,382593,150527,17,10,Cultural,Peak,Tier-2,True,1
U00012,Varanasi,195738,52859,16,10,Beach,Off-season,Tier-2,True,0
U00013,Jaipur,86727,22685,9,2,Beach,Moderate,Tier-1,False,0
U00014,Himachal Pradesh,133428,42360,17,4,Spiritual,Moderate,Tier-3,True,3
U00015,Pune,117452,36876,28,3,Heritage,Peak,Tier-2,True,1
U00016,Kolkata,71413,14283,26,1,Spiritual,Moderate,Tier-2,False,0
U00017,Goa,356759,71352,18,5,Heritage,Peak,Tier-1,True,0
U00018,Himachal Pradesh,247921,59587,22,1,Spiritual,Off-season,Tier-3,False,2
U00019,Kerala,289368,57874,14,8,Heritage,Peak,Tier-3,True,1
U00020,Varanasi,146099,44783,20,5,Adventure,Moderate,Tier-2,True,3
U00021,Lucknow,158188,34247,3,4,Cultural,Moderate,Tier-2,True,2
U00022,Jaipur,290543,64648,27,10,Spiritual,Off-season,Tier-1,True,0
U00023,Goa,257924,79322,13,7,Spiritual,Moderate,Tier-1,True,1
U00024,Kerala,309928,97021,9,4,Heritage,Peak,Tier-3,True,1
U00025,Mumbai,154663,30933,18,3,Cultural,Peak,Tier-1,True,1
U00026,Northeast India,328345,103805,15,3,Heritage,Peak,Tier-3,True,1
U00027,Goa,150281,46412,21,9,Spiritual,Off-season,Tier-1,True,0
U00028,Udaipur,153714,31442,17,4,Adventure,Moderate,Tier-2,True,0
U00029,Udaipur,165514,50007,10,2,Food,Moderate,Tier-2,False,0
U00030,Jaipur,193056,38611,10,6,Food,Moderate,Tier-1,True,1
U00031,Rishikesh,259224,87343,14,6,Food,Peak,Tier-3,True,2
U00032,Delhi,98167,44175,22,6,Cultural,Peak,Tier-1,True,0
U00033,Kolkata,5000,2000,8,7,Heritage,Moderate,Tier-2,True,0
U00034,Kerala,150261,36430,14,8,Adventure,Off-season,Tier-3,True,3
U00035,Jaipur,148913,29783,5,5,Spiritual,Off-season,Tier-1,True,1
U00036,Delhi,287596,93605,12,9,Adventure,Moderate,Tier-1,True,1
U00037,Kerala,162889,45874,6,10,Food,Off-season,Tier-3,True,1
U00038,Agra,174494,50349,11,7,Beach,Off-season,Tier-2,True,0
U00039,Rishikesh,220077,69425,13,6,Spiritual,Peak,Tier-3,True,3
U00040,Pune,162414,54146,11,7,Cultural,Peak,Tier-2,True,2
U00041,Delhi,205208,47308,14,3,Food,Off-season,Tier-1,True,0
U00042,Varanasi,196646,51533,25,10,Food,Peak,Tier-2,True,1
U00043,Kolkata,359943,113940,13,8,Beach,Peak,Tier-2,True,1
U00044,Mumbai,70046,25368,25,7,Cultural,Peak,Tier-1,True,0
U00045,Kerala,190105,66843,15,2,Beach,Peak,Tier-3,False,0
U00046,Udaipur,248984,73056,25,8,Heritage,Off-season,Tier-2,True,0
U00047,Himachal Pradesh,122561,36064,3,6,Food,Peak,Tier-3,True,2
U00048,Agra,266908,112647,18,5,Heritage,Moderate,Tier-2,True,1
U00049,Hyderabad,182325,46058,20,4,Adventure,Moderate,Tier-2,True,1
U00050,Bangalore,177718,52193,18,1,Spiritual,Peak,Tier-1,False,2
