trip_id,destination,trip_duration_days,total_budget_inr,group_size,primary_interest,secondary_interest,accommodation_preference,travel_season,destination_cost_tier,is_first_time,transport_mode,has_special_occasion,has_health_conditions,accommodation_budget_pct,food_dining_budget_pct,activities_attractions_budget_pct,local_transport_budget_pct,shopping_misc_budget_pct,contingency_budget_pct
T00001,Delhi,14,22818,10,Heritage,Spiritual,Mid-range,Peak,Tier-1,True,Flight,False,True,39.8,18.0,18.6,8.4,8.1,7.1
T00002,Goa,8,21053,3,Food,Heritage,Budget,Peak,Tier-1,False,Bus,False,False,34.4,21.9,21.7,7.4,7.0,7.6
T00003,Varanasi,26,27193,5,Cultural,Adventure,Mid-range,Peak,Tier-2,False,Train,False,False,33.6,20.3,21.1,9.1,8.0,7.9
T00004,Jaipur,18,21329,9,Adventure,Spiritual,Budget,Peak,Tier-1,True,Train,False,False,33.1,19.0,25.1,8.8,7.3,6.7
T00005,Lucknow,29,56409,5,Adventure,Heritage,Budget,Peak,Tier-2,False,Flight,False,False,28.7,19.9,28.1,8.2,7.0,8.1
T00006,Mumbai,5,29576,5,Heritage,Cultural,Alternative,Peak,Tier-1,False,Bus,False,False,35.0,19.2,21.4,8.9,8.3,7.2
T00007,Northeast India,19,92141,1,Cultural,Food,Budget,Moderate,Tier-3,False,Train,True,False,21.8,24.2,29.3,9.2,8.5,7.0
T00008,Lucknow,21,51458,5,Cultural,Heritage,Mid-range,Peak,Tier-2,False,Flight,False,False,34.1,19.7,20.1,9.0,8.4,8.7
T00009,Hyderabad,4,11760,7,Spiritual,Cultural,Alternative,Peak,Tier-2,True,Flight,False,False,31.8,18.9,21.9,10.1,9.1,8.2
T00010,Varanasi,16,13461,8,Food,Adventure,Mid-range,Peak,Tier-2,True,Train,False,False,31.9,24.0,19.7,8.9,7.5,8.0
T00011,Kolkata,11,8919,9,Heritage,Adventure,Luxury,Moderate,Tier-2,False,Train,False,False,34.6,19.9,20.2,9.7,7.8,7.8
T00012,Udaipur,26,29054,1,Food,Heritage,Mid-range,Moderate,Tier-2,False,Train,False,False,28.1,26.7,20.0,8.1,8.2,8.9
T00013,Rajasthan (non-GT),13,24040,8,Food,Beach,Mid-range,Peak,Tier-3,False,Train,False,False,30.6,25.2,19.6,9.4,7.6,7.6
T00014,Jaipur,13,24303,8,Adventure,Spiritual,Budget,Moderate,Tier-1,False,Flight,False,False,27.9,19.6,28.8,8.4,7.3,8.0
T00015,Northeast India,26,22424,4,Spiritual,Cultural,Budget,Moderate,Tier-3,False,Own-vehicle,False,False,21.7,20.8,32.3,8.9,8.5,7.8
T00016,Goa,18,18043,9,Cultural,Food,Mid-range,Moderate,Tier-1,False,Flight,False,False,33.1,22.0,19.7,9.7,8.5,7.0
T00017,Agra,10,68196,5,Spiritual,Beach,Mid-range,Peak,Tier-2,False,Train,False,False,35.1,19.4,20.1,9.3,8.2,7.9
T00018,Pune,24,13611,10,Adventure,Cultural,Budget,Off-season,Tier-2,False,Train,False,True,20.5,21.5,33.2,10.1,7.8,6.9
T00019,Jaipur,11,8261,7,Spiritual,Food,Alternative,Peak,Tier-1,False,Train,False,False,37.2,20.1,19.0,8.2,8.2,7.3
T00020,Mumbai,14,35619,8,Cultural,Spiritual,Alternative,Peak,Tier-1,True,Flight,False,False,36.7,18.6,20.1,9.1,8.6,6.9
T00021,Pune,8,7878,9,Heritage,Adventure,Budget,Moderate,Tier-2,False,Flight,False,False,22.8,21.5,31.4,9.0,7.7,7.6
T00022,Lucknow,14,14300,6,Food,Cultural,Mid-range,Moderate,Tier-2,True,Train,True,False,27.0,26.9,20.6,9.8,8.2,7.5
T00023,Goa,22,29684,10,Cultural,Food,Luxury,Off-season,Tier-1,False,Flight,False,False,36.5,22.2,17.6,8.1,7.7,7.9
T00024,Rishikesh,5,125795,10,Heritage,Spiritual,Budget,Peak,Tier-3,True,Own-vehicle,False,False,27.6,20.0,28.0,8.9,7.6,7.9
T00025,Udaipur,6,46687,7,Adventure,Spiritual,Mid-range,Moderate,Tier-2,True,Train,False,False,28.4,20.0,25.1,9.9,8.5,8.1
T00026,Jaipur,5,41724,6,Food,Adventure,Budget,Off-season,Tier-1,False,Own-vehicle,False,False,25.7,25.1,26.8,8.1,7.2,7.1
T00027,Jaipur,16,88205,10,Food,Adventure,Luxury,Moderate,Tier-1,False,Train,False,False,36.5,22.2,17.6,8.8,7.3,7.6
T00028,Pune,8,9197,3,Spiritual,Cultural,Mid-range,Moderate,Tier-2,True,Train,False,False,31.1,20.2,21.6,9.8,9.5,7.8
T00029,Hyderabad,11,32335,5,Heritage,Food,Budget,Moderate,Tier-2,True,Train,False,False,23.0,24.9,27.5,9.1,8.3,7.2
T00030,Mumbai,21,22503,6,Beach,Heritage,Mid-range,Off-season,Tier-1,False,Flight,False,False,30.0,20.7,24.4,9.0,7.4,8.5
T00031,Udaipur,2,36940,3,Adventure,Food,Budget,Moderate,Tier-2,True,Flight,False,False,23.9,24.5,28.4,7.9,7.3,8.0
T00032,Mumbai,27,8318,10,Adventure,Heritage,Budget,Peak,Tier-1,True,Own-vehicle,True,False,32.6,19.1,25.6,8.1,6.8,7.8
T00033,Varanasi,19,34974,8,Heritage,Beach,Budget,Peak,Tier-2,False,Flight,True,False,29.3,20.4,27.1,9.2,7.9,6.1
T00034,Jaipur,30,9042,8,Adventure,Beach,Alternative,Off-season,Tier-1,False,Train,True,False,28.0,20.6,27.6,8.6,8.7,6.5
T00035,Rishikesh,11,15595,9,Cultural,Spiritual,Mid-range,Peak,Tier-3,True,Flight,False,False,31.5,20.6,21.9,10.0,8.2,7.8
T00036,Lucknow,12,8739,2,Spiritual,Adventure,Mid-range,Peak,Tier-2,True,Flight,True,False,36.5,18.5,20.4,8.8,7.9,7.9
T00037,Hyderabad,5,70900,4,Adventure,Food,Luxury,Peak,Tier-2,False,Train,True,False,38.9,20.9,19.2,7.8,7.6,5.6
T00038,Kerala,28,14887,10,Food,Beach,Alternative,Peak,Tier-3,True,Train,False,False,28.7,25.0,21.4,8.9,7.7,8.3
T00039,Varanasi,20,7321,2,Heritage,Food,Mid-range,Moderate,Tier-2,True,Flight,False,False,30.0,23.6,21.2,8.7,8.5,8.0
T00040,Delhi,16,42373,10,Beach,Adventure,Luxury,Off-season,Tier-1,False,Bus,False,False,35.7,19.5,20.7,8.9,7.3,7.9
T00041,Goa,7,12558,8,Cultural,Adventure,Mid-range,Moderate,Tier-1,True,Bus,False,False,33.7,19.6,22.0,8.8,7.8,8.1
T00042,Hyderabad,2,26700,7,Food,Heritage,Mid-range,Peak,Tier-2,False,Train,False,False,32.9,24.1,18.6,8.6,7.6,8.2
T00043,Northeast India,15,14647,9,Heritage,Beach,Mid-range,Peak,Tier-3,False,Bus,False,False,32.1,20.4,22.2,9.1,7.5,8.7
T00044,Lucknow,28,23381,5,Food,Beach,Mid-range,Moderate,Tier-2,False,Flight,False,False,26.7,26.5,20.7,9.7,8.4,8.0
T00045,Mumbai,9,14339,2,Food,Beach,Budget,Peak,Tier-1,False,Flight,False,False,34.9,22.2,21.3,7.0,7.0,7.6
T00046,Lucknow,9,27990,3,Beach,Adventure,Budget,Moderate,Tier-2,False,Bus,True,False,24.7,21.1,31.3,8.3,6.9,7.7
T00047,Northeast India,26,16334,10,Beach,Heritage,Mid-range,Peak,Tier-3,False,Train,False,False,31.5,20.9,22.7,8.8,8.0,8.1
T00048,Delhi,22,9031,6,Cultural,Heritage,Budget,Peak,Tier-1,True,Flight,False,False,33.4,19.5,23.9,8.2,7.3,7.7
T00049,Goa,13,40058,8,Spiritual,Cultural,Budget,Off-season,Tier-1,False,Train,False,False,27.4,19.0,27.6,9.4,7.9,8.7
T00050,Northeast India,17,13738,2,Cultural,Spiritual,Budget,Off-season,Tier-3,True,Train,False,False,20.2,21.8,33.6,8.6,7.7,8.1
T00051,Rishikesh,16,18177,1,Food,Spiritual,Budget,Peak,Tier-3,True,Flight,True,False,28.5,24.0,23.5,8.3,8.0,7.7
T00052,Pune,26,41598,8,Food,Heritage,Mid-range,Off-season,Tier-2,True,Own-vehicle,False,False,25.2,28.5,22.0,9.2,8.4,6.7
T00053,Varanasi,18,57365,10,Beach,Food,Mid-range,Peak,Tier-2,False,Bus,False,True,33.5,21.7,19.8,9.1,7.2,8.7
T00054,Pune,6,13339,10,Food,Beach,Mid-range,Peak,Tier-2,True,Own-vehicle,False,False,32.6,24.5,18.2,8.8,7.3,8.6
T00055,Kerala,30,53977,10,Heritage,Spiritual,Budget,Peak,Tier-3,True,Flight,False,False,26.6,20.1,28.3,9.4,8.1,7.5
T00056,Pune,9,26006,5,Adventure,Heritage,Luxury,Moderate,Tier-2,True,Train,True,False,32.8,20.2,22.1,9.1,7.7,8.1
T00057,Udaipur,19,29334,8,Beach,Adventure,Budget,Peak,Tier-2,True,Flight,False,False,28.3,19.9,28.2,9.1,7.8,6.7
T00058,Agra,14,22812,6,Food,Heritage,Mid-range,Off-season,Tier-2,True,Train,False,False,24.8,28.2,22.1,9.5,8.3,7.1
T00059,Udaipur,6,41229,7,Beach,Adventure,Mid-range,Moderate,Tier-2,True,Train,False,False,26.9,21.3,25.4,10.6,9.4,6.4
T00060,Agra,2,20145,9,Beach,Spiritual,Luxury,Peak,Tier-2,False,Flight,False,False,39.3,18.5,18.4,8.6,7.9,7.3
T00061,Bangalore,8,24900,8,Spiritual,Cultural,Mid-range,Peak,Tier-1,False,Train,False,False,41.1,16.9,18.3,8.4,8.3,7.0
T00062,Hyderabad,2,9293,3,Heritage,Adventure,Budget,Off-season,Tier-2,False,Flight,False,True,22.7,21.3,32.8,8.3,7.9,7.0
T00063,Mumbai,26,20558,3,Cultural,Beach,Budget,Peak,Tier-1,True,Train,False,True,34.7,19.3,23.7,8.1,7.5,6.7
T00064,Hyderabad,30,23162,4,Cultural,Heritage,Mid-range,Peak,Tier-2,False,Train,False,False,36.9,19.6,19.7,8.1,7.8,7.9
T00065,Udaipur,4,20200,7,Adventure,Spiritual,Mid-range,Off-season,Tier-2,True,Train,False,False,24.9,20.8,27.6,10.3,8.2,8.2
T00066,Lucknow,30,29334,7,Adventure,Heritage,Luxury,Off-season,Tier-2,False,Train,False,False,29.8,20.7,23.4,9.6,7.8,8.7
T00067,Kolkata,15,12136,2,Heritage,Food,Mid-range,Peak,Tier-2,False,Own-vehicle,True,False,34.8,22.4,19.8,8.2,7.2,7.6
T00068,Kerala,19,33951,1,Beach,Heritage,Mid-range,Moderate,Tier-3,False,Train,False,False,27.0,20.8,26.3,9.1,8.7,8.1
T00069,Goa,15,5304,4,Food,Cultural,Mid-range,Peak,Tier-1,True,Train,False,False,38.0,21.8,18.0,7.0,7.2,8.0
T00070,Northeast India,6,19954,4,Beach,Spiritual,Budget,Off-season,Tier-3,True,Flight,True,False,20.6,21.6,34.8,7.7,8.1,7.2
T00071,Mumbai,20,13204,10,Spiritual,Cultural,Alternative,Off-season,Tier-1,False,Train,False,False,29.4,19.5,23.8,10.0,9.5,7.8
T00072,Kolkata,18,25135,4,Spiritual,Cultural,Luxury,Peak,Tier-2,False,Bus,False,False,42.6,17.2,16.1,8.1,7.6,8.4
T00073,Varanasi,26,33285,4,Adventure,Spiritual,Budget,Peak,Tier-2,False,Flight,False,False,30.5,18.7,27.3,7.9,7.7,7.9
T00074,Udaipur,20,19020,8,Heritage,Food,Mid-range,Peak,Tier-2,True,Train,False,False,33.9,22.0,19.7,8.7,7.9,7.8
T00075,Pune,19,41863,1,Heritage,Cultural,Budget,Moderate,Tier-2,False,Bus,False,False,25.6,21.7,28.8,8.4,8.7,6.8
T00076,Kerala,24,18824,9,Adventure,Cultural,Mid-range,Off-season,Tier-3,True,Flight,False,False,21.5,22.0,29.8,9.5,8.5,8.7
T00077,Rajasthan (non-GT),9,49337,1,Cultural,Food,Mid-range,Peak,Tier-3,True,Train,False,False,32.8,22.5,19.9,8.6,8.3,7.9
T00078,Jaipur,9,40618,1,Spiritual,Adventure,Mid-range,Off-season,Tier-1,True,Bus,False,False,34.2,18.7,23.0,8.4,7.8,7.9
T00079,Kolkata,17,14932,4,Cultural,Spiritual,Luxury,Moderate,Tier-2,True,Train,False,False,36.4,19.3,18.3,9.4,8.3,8.3
T00080,Pune,18,24377,6,Heritage,Cultural,Luxury,Moderate,Tier-2,False,Flight,False,False,33.7,20.4,19.5,9.6,8.0,8.8
T00081,Himachal Pradesh,28,71573,2,Spiritual,Food,Mid-range,Peak,Tier-3,False,Flight,True,True,33.9,21.4,19.2,8.7,8.1,8.7
T00082,Udaipur,10,32261,8,Food,Beach,Mid-range,Peak,Tier-2,False,Flight,False,False,32.6,24.9,18.9,8.7,7.8,7.1
